Material,Grade,Density,TensileStrength,YieldStrength,Hardness,ElasticModulus,CostScore,CorrosionResistance,WearResistance,SustainabilityScore
CSN 15230,heat treated,7.86,1000,850,239.0,206000,5.0,5.0,4.49,5.0
CSN 15241,face hardened,7.86,1177,981,610.0,206000,5.0,5.0,8.754,5.0
CSN 15241,heat treated,7.86,1177,981,379.0,206000,5.0,5.0,5.555,5.0
CSN 15241,heat treated,7.86,1716,1373,540.0,206000,5.0,5.0,7.785,5.0
CSN 15260,Standard,7.86,900,700,239.0,206000,5.0,5.0,4.122,5.0
CSN 15313,Standard,7.86,480,265,239.0,206000,5.0,5.0,2.58,5.0
CSN 15330,Heat-treatment nitrided steel,7.86,834,637,720.0,206000,5.0,5.0,10.0,5.0
CSN 15340,Standard,7.86,981,785,239.0,206000,5.0,5.0,4.42,5.0
CSN 15432,Standard,7.86,690,490,239.0,206000,5.0,5.0,3.351,5.0
CSN 16220,case-hardened,7.86,883,637,771.0,206000,5.0,5.0,10.0,5.0
CSN 16223,Standard,7.86,835,590,239.0,206000,5.0,5.0,3.884,5.0
CSN 16321,Standard,7.86,880,635,239.0,206000,5.0,5.0,4.049,5.0
CSN 16326,Standard,7.86,1080,785,239.0,206000,5.0,5.0,4.784,5.0
CSN 16329,Standard,7.86,440,285,239.0,206000,5.0,5.0,2.433,5.0
CSN 16343,Standard,7.86,1100,900,239.0,206000,5.0,5.0,4.857,5.0
CSN 16420,case-hardened,7.86,932,785,727.0,206000,5.0,5.0,10.0,5.0
CSN 16430,heat treated,7.86,1080,880,239.0,206000,5.0,5.0,4.784,5.0
CSN 16527,Standard,7.86,590,390,239.0,206000,5.0,5.0,2.984,5.0
CSN 16640,heat treated,7.86,1569,1275,510.0,206000,5.0,5.0,7.369,5.0
CSN 17020,normalized,7.86,441,245,239.0,206000,5.0,5.0,2.436,5.0
CSN 17021,normalized,7.86,590,415,239.0,206000,5.0,5.0,2.984,5.0
CSN 17022,normalized,7.86,690,455,239.0,206000,5.0,5.0,3.351,5.0
CSN 17023,normalized,7.86,740,495,239.0,206000,5.0,5.0,3.535,5.0
CSN 17040,normalized,7.86,440,265,239.0,206000,5.0,5.0,2.433,5.0
CSN 17041,normalized,7.86,440,295,239.0,206000,5.0,5.0,2.433,5.0
CSN 17113,normalized,7.86,441,245,239.0,206000,5.0,5.0,2.436,5.0
CSN 17115,normalized,7.86,930,685,239.0,206000,5.0,5.0,4.233,5.0
CSN 17125,normalized,7.86,460,270,239.0,206000,5.0,5.0,2.506,5.0
CSN 17145,normalized,7.86,800,560,239.0,206000,5.0,5.0,3.755,5.0
CSN 17150,normalized,7.86,900,650,239.0,206000,5.0,5.0,4.122,5.0
CSN 17240,normalized,7.86,490,186,239.0,206000,5.0,5.0,2.616,5.0
CSN 17241,normalized,7.86,530,195,239.0,206000,5.0,5.0,2.763,5.0
CSN 17243,normalized,7.86,500,190,239.0,206000,5.0,5.0,2.653,5.0
CSN 17246,normalized,7.86,550,210,239.0,206000,5.0,5.0,2.837,5.0
CSN 17247,normalized,7.86,500,195,239.0,206000,5.0,5.0,2.653,5.0
CSN 17248,normalized,7.86,500,205,239.0,206000,5.0,5.0,2.653,5.0
CSN 17249,normalized,7.86,440,175,239.0,206000,5.0,5.0,2.433,5.0
CSN 17251,normalized,7.86,650,350,239.0,206000,5.0,5.0,3.204,5.0
CSN 17253,normalized,7.86,700,350,239.0,206000,5.0,5.0,3.388,5.0
CSN 17255,normalized,7.86,600,250,239.0,206000,5.0,5.0,3.02,5.0
CSN 17256,normalized,7.86,500,230,239.0,206000,5.0,5.0,2.653,5.0
CSN 17259,normalized,7.86,540,265,239.0,206000,5.0,5.0,2.8,5.0
CSN 17265,normalized,7.86,550,230,239.0,206000,5.0,5.0,2.837,5.0
CSN 17346,normalized,7.86,550,205,239.0,206000,5.0,5.0,2.837,5.0
CSN 17348,normalized,7.86,550,215,239.0,206000,5.0,5.0,2.837,5.0
CSN 17359,normalized,7.86,540,275,239.0,206000,5.0,5.0,2.8,5.0
CSN 17460,normalized,7.86,635,295,239.0,206000,5.0,5.0,3.149,5.0
CSN 17465,normalized,7.86,980,590,239.0,206000,5.0,5.0,4.416,5.0
CSN 17501,normalized,7.86,640,490,239.0,206000,5.0,5.0,3.167,5.0
CSN 242660,Standard,7.16,588,300,167.0,206000,5.0,5.0,2.62,5.0
CSN 422303,Standard,7.16,360,240,140.0,169000,5.0,5.0,2.246,5.0
CSN 422304,Standard,7.16,420,270,150.0,169000,5.0,5.0,2.385,5.0
CSN 422305,Standard,7.16,500,320,180.0,169000,5.0,5.0,2.8,5.0
CSN 422306,Standard,7.16,600,370,210.0,169000,5.0,5.0,3.215,5.0
CSN 422307,Standard,7.16,700,420,230.0,169000,5.0,5.0,3.492,5.0
CSN 422308,Standard,7.16,800,480,240.0,169000,5.0,5.0,3.631,5.0
CSN 422410,Standard,7.16,100,100,170.0,80000,5.0,5.0,2.662,5.0
CSN 422415,Standard,7.16,150,150,190.0,85000,5.0,5.0,2.938,5.0
CSN 422420,Standard,7.16,200,200,210.0,91000,5.0,5.0,3.215,5.0
CSN 422425,Standard,7.16,250,250,230.0,105000,5.0,5.0,3.492,5.0
CSN 422430,Standard,7.16,300,300,250.0,110000,5.0,5.0,3.769,5.0
CSN 422435,Standard,7.16,350,350,260.0,115000,5.0,5.0,3.908,5.0
CSN 422540,Standard,7.16,400,180,220.0,160000,5.0,5.0,3.354,5.0
CSN 422555,Standard,7.16,580,300,240.0,160000,5.0,5.0,3.631,5.0
CSN 422630,Standard,7.16,363,200,105.0,206000,5.0,5.0,1.762,5.0
CSN 422640,Standard,7.16,441,240,127.0,206000,5.0,5.0,2.066,5.0
CSN 422650,Standard,7.16,490,260,147.0,206000,5.0,5.0,2.343,5.0
CSN 422670,Standard,7.16,686,350,193.0,206000,5.0,5.0,2.98,5.0
CSN 422709,Standard,7.16,530,300,239.0,206000,5.0,5.0,2.763,5.0
CSN 422712,Standard,7.16,422,250,120.0,206000,5.0,5.0,1.969,5.0
CSN 422713,Standard,7.16,490,290,140.0,206000,5.0,5.0,2.246,5.0
CSN 422724,Standard,7.16,637,420,190.0,206000,5.0,5.0,2.938,5.0
CSN 422735,Standard,7.16,785,520,235.0,206000,5.0,5.0,3.562,5.0
CSN 422739,Standard,7.16,830,550,250.0,206000,5.0,5.0,3.769,5.0
CSN 422753,Standard,7.16,981,650,300.0,206000,5.0,5.0,4.462,5.0
CSN 422906,Standard,7.16,550,390,239.0,206000,5.0,5.0,2.837,5.0
CSN 422912,Standard,7.16,500,320,239.0,206000,5.0,5.0,2.653,5.0
CSN 423042,Standard,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN 423044,Standard,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN 423045,Standard,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN 423047,Standard,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN 423115,Standard,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN 423119,Standard,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN 423123,Standard,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN 423135,Standard,8.8,150,120,239.0,105000,5.0,5.0,1.367,5.0
CSN 423137,Standard,8.8,170,100,239.0,105000,5.0,5.0,1.441,5.0
CSN 423145,Standard,8.8,400,130,239.0,120000,5.0,5.0,2.286,5.0
CSN 423147,Standard,8.8,400,130,239.0,120000,5.0,5.0,2.286,5.0
CSN 423210,Standard,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN 423212,Standard,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN 423213,Standard,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN 423214,Standard,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN 423256,Standard,8.5,350,255,239.0,100000,5.0,5.0,2.102,5.0
CSN 423311,Standard,8.5,600,350,239.0,100000,5.0,5.0,3.02,5.0
CSN 424201,Standard,2.7,400,230,239.0,73000,5.0,5.0,2.286,5.0
CSN 424203,Standard,2.7,430,230,239.0,73000,5.0,5.0,2.396,5.0
CSN 424204,Standard,2.7,430,230,239.0,73000,5.0,5.0,2.396,5.0
CSN 424250,Standard,2.7,340,190,239.0,73000,5.0,5.0,2.065,5.0
CSN 424401,Standard,2.7,280,100,239.0,73000,5.0,5.0,1.845,5.0
CSN 424413,Standard,2.7,200,110,239.0,73000,5.0,5.0,1.551,5.0
CSN 424415,Standard,2.7,200,110,239.0,73000,5.0,5.0,1.551,5.0
CSN CSN 10370,,7.86,350,200,239.0,206000,5.0,5.0,2.102,5.0
CSN CSN 11110,,7.86,400,226,239.0,206000,5.0,5.0,2.286,5.0
CSN CSN 11110,normalized,7.86,471,373,239.0,206000,5.0,5.0,2.547,5.0
CSN CSN 11120,,7.86,400,255,239.0,206000,5.0,5.0,2.286,5.0
CSN CSN 11140,normalized,7.86,660,520,239.0,206000,5.0,5.0,3.241,5.0
CSN CSN 11301,,7.86,280,200,239.0,206000,5.0,5.0,1.845,5.0
CSN CSN 11305,,7.86,290,215,239.0,206000,5.0,5.0,1.882,5.0
CSN CSN 11321,,7.86,280,200,239.0,206000,5.0,5.0,1.845,5.0
CSN CSN 11343,,7.86,330,195,239.0,206000,5.0,5.0,2.029,5.0
CSN CSN 11353,,7.86,340,225,239.0,206000,5.0,5.0,2.065,5.0
CSN CSN 11368,,7.86,350,225,239.0,206000,5.0,5.0,2.102,5.0
CSN CSN 11373,,7.86,340,225,239.0,206000,5.0,5.0,2.065,5.0
CSN CSN 11378,,7.86,360,235,239.0,206000,5.0,5.0,2.139,5.0
CSN CSN 11418,,7.86,410,255,239.0,206000,5.0,5.0,2.322,5.0
CSN CSN 11423,,7.86,420,240,239.0,206000,5.0,5.0,2.359,5.0
CSN CSN 11448,,7.86,430,285,239.0,206000,5.0,5.0,2.396,5.0
CSN CSN 11453,,7.86,440,265,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 11500,,7.86,490,265,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 11503,,7.86,490,340,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 11523,normalized,7.86,510,345,239.0,206000,5.0,5.0,2.69,5.0
CSN CSN 11600,,7.86,590,315,239.0,206000,5.0,5.0,2.984,5.0
CSN CSN 11600 face,hardened,7.86,590,315,239.0,206000,5.0,5.0,2.984,5.0
CSN CSN 11700,,7.86,686,355,239.0,206000,5.0,5.0,3.336,5.0
CSN CSN 11700 face,hardened,7.86,686,355,239.0,206000,5.0,5.0,3.336,5.0
CSN CSN 12010,case-hardened,7.86,490,325,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 12020,,7.86,550,350,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 12020,case-hardened,7.86,490,295,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 12024,,7.86,480,300,239.0,206000,5.0,5.0,2.58,5.0
CSN CSN 12030,,7.86,500,320,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 12031,,7.86,550,350,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 12040,,7.86,600,370,239.0,206000,5.0,5.0,3.02,5.0
CSN CSN 12041,,7.86,630,400,239.0,206000,5.0,5.0,3.131,5.0
CSN CSN 12050,normalized,7.86,530,305,239.0,206000,5.0,5.0,2.763,5.0
CSN CSN 12050 heat,treated,7.86,640,390,239.0,206000,5.0,5.0,3.167,5.0
CSN CSN 12051,,7.86,690,440,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 12060,,7.86,750,480,239.0,206000,5.0,5.0,3.571,5.0
CSN CSN 12061 heat,treated,7.86,800,500,239.0,206000,5.0,5.0,3.755,5.0
CSN CSN 12071 heat,treated,7.86,1770,1470,239.0,206000,5.0,5.0,7.318,5.0
CSN CSN 13030,,7.86,460,285,239.0,206000,5.0,5.0,2.506,5.0
CSN CSN 13141,,7.86,690,490,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 13180 heat,treated,7.86,1570,1320,239.0,206000,5.0,5.0,6.584,5.0
CSN CSN 13220,normalized,7.86,670,430,239.0,206000,5.0,5.0,3.278,5.0
CSN CSN 13221,normalized,7.86,680,440,239.0,206000,5.0,5.0,3.314,5.0
CSN CSN 13240,,7.86,780,540,239.0,206000,5.0,5.0,3.682,5.0
CSN CSN 13242,,7.86,880,685,239.0,206000,5.0,5.0,4.049,5.0
CSN CSN 13251 heat,treated,7.86,1270,1080,239.0,206000,5.0,5.0,5.482,5.0
CSN CSN 13270 heat,treated,7.86,1420,1210,239.0,206000,5.0,5.0,6.033,5.0
CSN CSN 14120,,7.86,588,343,239.0,206000,5.0,5.0,2.976,5.0
CSN CSN 14140,nitro-case-hard.,7.86,1716,1373,239.0,206000,5.0,5.0,7.12,5.0
CSN CSN 14140 face,hardened,7.86,932,785,239.0,206000,5.0,5.0,4.24,5.0
CSN CSN 14140 heat,treated,7.86,883,637,239.0,206000,5.0,5.0,4.06,5.0
CSN CSN 14141,,7.86,883,687,239.0,206000,5.0,5.0,4.06,5.0
CSN CSN 14146,,7.86,932,785,239.0,206000,5.0,5.0,4.24,5.0
CSN CSN 14148,,7.86,657,490,239.0,206000,5.0,5.0,3.23,5.0
CSN CSN 14220,,7.86,900,680,239.0,206000,5.0,5.0,4.122,5.0
CSN CSN 14220,case-hardened,7.86,785,588,239.0,206000,5.0,5.0,3.7,5.0
CSN CSN 14221,,7.86,981,686,239.0,206000,5.0,5.0,4.42,5.0
CSN CSN 14223,case-hardened,7.86,883,687,239.0,206000,5.0,5.0,4.06,5.0
CSN CSN 14230,case-hardened,7.86,981,794,239.0,206000,5.0,5.0,4.42,5.0
CSN CSN 14260 heat,treated,7.86,1370,1175,239.0,206000,5.0,5.0,5.849,5.0
CSN CSN 14262 heat,treated,7.86,1470,1275,239.0,206000,5.0,5.0,6.216,5.0
CSN CSN 15020,,7.86,440,265,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 15121,,7.86,430,295,239.0,206000,5.0,5.0,2.396,5.0
CSN CSN 15127,,7.86,470,345,239.0,206000,5.0,5.0,2.543,5.0
CSN CSN 15130,,7.86,690,490,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 15131,,7.86,930,735,239.0,206000,5.0,5.0,4.233,5.0
CSN CSN 15141,,7.86,880,665,239.0,206000,5.0,5.0,4.049,5.0
CSN CSN 15142,,7.86,1000,750,239.0,206000,5.0,5.0,4.49,5.0
CSN CSN 15217,,7.86,470,345,239.0,206000,5.0,5.0,2.543,5.0
CSN CSN 15222,normalized,7.86,690,490,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 15230 Heat-treatment nitrided,steel,7.86,780,635,239.0,206000,5.0,5.0,3.682,5.0
CSN CSN 15230 heat,treated,7.86,1000,850,239.0,206000,5.0,5.0,4.49,5.0
CSN CSN 15241 face,hardened,7.86,1177,981,239.0,206000,5.0,5.0,5.14,5.0
CSN CSN 15241 heat,treated,7.86,1177,981,239.0,206000,5.0,5.0,5.14,5.0
CSN CSN 15241 heat,treated,7.86,1716,1373,239.0,206000,5.0,5.0,7.12,5.0
CSN CSN 15260,,7.86,900,700,239.0,206000,5.0,5.0,4.122,5.0
CSN CSN 15313,,7.86,480,265,239.0,206000,5.0,5.0,2.58,5.0
CSN CSN 15330 Heat-treatment nitrided,steel,7.86,834,637,239.0,206000,5.0,5.0,3.88,5.0
CSN CSN 15340,,7.86,981,785,239.0,206000,5.0,5.0,4.42,5.0
CSN CSN 15432,,7.86,690,490,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 16220,case-hardened,7.86,883,637,239.0,206000,5.0,5.0,4.06,5.0
CSN CSN 16223,,7.86,835,590,239.0,206000,5.0,5.0,3.884,5.0
CSN CSN 16321,,7.86,880,635,239.0,206000,5.0,5.0,4.049,5.0
CSN CSN 16326,,7.86,1080,785,239.0,206000,5.0,5.0,4.784,5.0
CSN CSN 16329,,7.86,440,285,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 16343,,7.86,1100,900,239.0,206000,5.0,5.0,4.857,5.0
CSN CSN 16420,case-hardened,7.86,932,785,239.0,206000,5.0,5.0,4.24,5.0
CSN CSN 16430 heat,treated,7.86,1080,880,239.0,206000,5.0,5.0,4.784,5.0
CSN CSN 16527,,7.86,590,390,239.0,206000,5.0,5.0,2.984,5.0
CSN CSN 16640 heat,treated,7.86,1569,1275,239.0,206000,5.0,5.0,6.58,5.0
CSN CSN 17020,normalized,7.86,441,245,239.0,206000,5.0,5.0,2.436,5.0
CSN CSN 17021,normalized,7.86,590,415,239.0,206000,5.0,5.0,2.984,5.0
CSN CSN 17022,normalized,7.86,690,455,239.0,206000,5.0,5.0,3.351,5.0
CSN CSN 17023,normalized,7.86,740,495,239.0,206000,5.0,5.0,3.535,5.0
CSN CSN 17040,normalized,7.86,440,265,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 17041,normalized,7.86,440,295,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 17113,normalized,7.86,441,245,239.0,206000,5.0,5.0,2.436,5.0
CSN CSN 17115,normalized,7.86,930,685,239.0,206000,5.0,5.0,4.233,5.0
CSN CSN 17125,normalized,7.86,460,270,239.0,206000,5.0,5.0,2.506,5.0
CSN CSN 17145,normalized,7.86,800,560,239.0,206000,5.0,5.0,3.755,5.0
CSN CSN 17150,normalized,7.86,900,650,239.0,206000,5.0,5.0,4.122,5.0
CSN CSN 17240,normalized,7.86,490,186,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 17241,normalized,7.86,530,195,239.0,206000,5.0,5.0,2.763,5.0
CSN CSN 17243,normalized,7.86,500,190,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 17246,normalized,7.86,550,210,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 17247,normalized,7.86,500,195,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 17248,normalized,7.86,500,205,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 17249,normalized,7.86,440,175,239.0,206000,5.0,5.0,2.433,5.0
CSN CSN 17251,normalized,7.86,650,350,239.0,206000,5.0,5.0,3.204,5.0
CSN CSN 17253,normalized,7.86,700,350,239.0,206000,5.0,5.0,3.388,5.0
CSN CSN 17255,normalized,7.86,600,250,239.0,206000,5.0,5.0,3.02,5.0
CSN CSN 17256,normalized,7.86,500,230,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 17259,normalized,7.86,540,265,239.0,206000,5.0,5.0,2.8,5.0
CSN CSN 17265,normalized,7.86,550,230,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 17346,normalized,7.86,550,205,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 17348,normalized,7.86,550,215,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 17359,normalized,7.86,540,275,239.0,206000,5.0,5.0,2.8,5.0
CSN CSN 17460,normalized,7.86,635,295,239.0,206000,5.0,5.0,3.149,5.0
CSN CSN 17465,normalized,7.86,980,590,239.0,206000,5.0,5.0,4.416,5.0
CSN CSN 17501,normalized,7.86,640,490,239.0,206000,5.0,5.0,3.167,5.0
CSN CSN 242660,,7.16,588,300,239.0,206000,5.0,5.0,2.976,5.0
CSN CSN 422303,,7.16,360,240,239.0,169000,5.0,5.0,2.139,5.0
CSN CSN 422304,,7.16,420,270,239.0,169000,5.0,5.0,2.359,5.0
CSN CSN 422305,,7.16,500,320,239.0,169000,5.0,5.0,2.653,5.0
CSN CSN 422306,,7.16,600,370,239.0,169000,5.0,5.0,3.02,5.0
CSN CSN 422307,,7.16,700,420,239.0,169000,5.0,5.0,3.388,5.0
CSN CSN 422308,,7.16,800,480,239.0,169000,5.0,5.0,3.755,5.0
CSN CSN 422410,,7.16,100,100,239.0,80000,5.0,5.0,1.184,5.0
CSN CSN 422415,,7.16,150,150,239.0,85000,5.0,5.0,1.367,5.0
CSN CSN 422420,,7.16,200,200,239.0,91000,5.0,5.0,1.551,5.0
CSN CSN 422425,,7.16,250,250,239.0,105000,5.0,5.0,1.735,5.0
CSN CSN 422430,,7.16,300,300,239.0,110000,5.0,5.0,1.918,5.0
CSN CSN 422435,,7.16,350,350,239.0,115000,5.0,5.0,2.102,5.0
CSN CSN 422540,,7.16,400,180,239.0,160000,5.0,5.0,2.286,5.0
CSN CSN 422555,,7.16,580,300,239.0,160000,5.0,5.0,2.947,5.0
CSN CSN 422630,,7.16,363,200,239.0,206000,5.0,5.0,2.15,5.0
CSN CSN 422640,,7.16,441,240,239.0,206000,5.0,5.0,2.436,5.0
CSN CSN 422650,,7.16,490,260,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 422670,,7.16,686,350,239.0,206000,5.0,5.0,3.336,5.0
CSN CSN 422709,,7.16,530,300,239.0,206000,5.0,5.0,2.763,5.0
CSN CSN 422712,,7.16,422,250,239.0,206000,5.0,5.0,2.367,5.0
CSN CSN 422713,,7.16,490,290,239.0,206000,5.0,5.0,2.616,5.0
CSN CSN 422724,,7.16,637,420,239.0,206000,5.0,5.0,3.156,5.0
CSN CSN 422735,,7.16,785,520,239.0,206000,5.0,5.0,3.7,5.0
CSN CSN 422739,,7.16,830,550,239.0,206000,5.0,5.0,3.865,5.0
CSN CSN 422753,,7.16,981,650,239.0,206000,5.0,5.0,4.42,5.0
CSN CSN 422906,,7.16,550,390,239.0,206000,5.0,5.0,2.837,5.0
CSN CSN 422912,,7.16,500,320,239.0,206000,5.0,5.0,2.653,5.0
CSN CSN 423042,,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN CSN 423044,,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN CSN 423045,,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN CSN 423047,,8.8,380,265,239.0,120000,5.0,5.0,2.212,5.0
CSN CSN 423115,,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN CSN 423119,,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN CSN 423123,,8.8,180,160,239.0,105000,5.0,5.0,1.478,5.0
CSN CSN 423135,,8.8,150,120,239.0,105000,5.0,5.0,1.367,5.0
CSN CSN 423137,,8.8,170,100,239.0,105000,5.0,5.0,1.441,5.0
CSN CSN 423145,,8.8,400,130,239.0,120000,5.0,5.0,2.286,5.0
CSN CSN 423147,,8.8,400,130,239.0,120000,5.0,5.0,2.286,5.0
CSN CSN 423210,,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN CSN 423212,,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN CSN 423213,,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN CSN 423214,,8.5,330,100,239.0,100000,5.0,5.0,2.029,5.0
CSN CSN 423256,,8.5,350,255,239.0,100000,5.0,5.0,2.102,5.0
CSN CSN 423311,,8.5,600,350,239.0,100000,5.0,5.0,3.02,5.0
CSN CSN 424201,,2.7,400,230,239.0,73000,5.0,5.0,2.286,5.0
CSN CSN 424203,,2.7,430,230,239.0,73000,5.0,5.0,2.396,5.0
CSN CSN 424204,,2.7,430,230,239.0,73000,5.0,5.0,2.396,5.0
CSN CSN 424250,,2.7,340,190,239.0,73000,5.0,5.0,2.065,5.0
CSN CSN 424401,,2.7,280,100,239.0,73000,5.0,5.0,1.845,5.0
CSN CSN 424413,,2.7,200,110,239.0,73000,5.0,5.0,1.551,5.0
CSN CSN 424415,,2.7,200,110,239.0,73000,5.0,5.0,1.551,5.0
Cartridge brass C26000,Standard,8.8,303,76,239.0,105000,5.0,6.5,1.929,5.0
Commercial bronze C22000,Standard,8.8,255,69,239.0,105000,5.0,7.5,1.753,5.0
Copper Alloy C10100,Standard,8.93,221,69,239.0,108000,5.0,6.5,1.628,5.0
Copper Alloy C15000,Standard,8.93,200,41,239.0,108000,5.0,6.5,1.551,5.0
Copper Alloy C15500,Standard,8.93,276,124,239.0,108000,5.0,6.5,1.83,5.0
Copper Alloy C15715,Standard,8.93,359,303,239.0,108000,5.0,6.5,2.135,5.0
Copper Alloy C15720,Standard,8.93,441,372,239.0,108000,5.0,6.5,2.436,5.0
Copper Alloy C15760,Standard,8.93,483,448,239.0,108000,5.0,6.5,2.591,5.0
Copper Alloy C16200,Standard,8.93,241,48,239.0,108000,5.0,6.5,1.702,5.0
Copper Alloy C16500,Standard,8.93,276,97,239.0,108000,5.0,6.5,1.83,5.0
Copper Alloy C17000,Standard,8.93,483,221,239.0,108000,5.0,6.5,2.591,5.0
Copper Alloy C17300,Standard,8.93,469,172,239.0,108000,5.0,6.5,2.539,5.0
Copper Alloy C17500,Standard,8.93,310,172,239.0,108000,5.0,6.5,1.955,5.0
Copper Alloy C18200,Standard,8.93,234,97,239.0,108000,5.0,6.5,1.676,5.0
Copper Alloy C18900,Standard,8.93,262,62,239.0,108000,5.0,6.5,1.779,5.0
Copper Alloy C19000,Standard,8.93,262,138,239.0,108000,5.0,6.5,1.779,5.0
Copper Alloy C19100,Standard,8.93,248,69,239.0,108000,5.0,6.5,1.727,5.0
Copper Alloy C19200,Standard,8.93,255,76,239.0,108000,5.0,6.5,1.753,5.0
Copper Alloy C19400,Standard,8.93,310,165,239.0,108000,5.0,6.5,1.955,5.0
Copper Alloy C19500,Standard,8.93,552,448,239.0,108000,5.0,6.5,2.844,5.0
Copper Alloy C21000,Standard,8.93,234,69,239.0,108000,5.0,6.5,1.676,5.0
Copper Alloy C40500,Standard,8.8,269,83,239.0,105000,5.0,6.5,1.804,5.0
Copper Alloy C40800,Standard,8.8,290,90,239.0,105000,5.0,6.5,1.882,5.0
Copper Alloy C41100,Standard,8.8,269,76,239.0,105000,5.0,6.5,1.804,5.0
Copper Alloy C41300,Standard,8.8,283,83,239.0,105000,5.0,6.5,1.856,5.0
Copper Alloy C41500,Standard,8.8,317,117,239.0,105000,5.0,6.5,1.981,5.0
Copper Alloy C42200,Standard,8.8,296,103,239.0,105000,5.0,6.5,1.904,5.0
Copper Alloy C42500,Standard,8.8,310,124,239.0,105000,5.0,6.5,1.955,5.0
Copper Alloy C43000,Standard,8.8,317,124,239.0,105000,5.0,6.5,1.981,5.0
Copper Alloy C43400,Standard,8.8,310,103,239.0,105000,5.0,6.5,1.955,5.0
Copper Alloy C43500,Standard,8.8,317,110,239.0,105000,5.0,6.5,1.981,5.0
Copper Alloy C44300,Standard,8.8,331,124,239.0,105000,5.0,6.5,2.032,5.0
Copper Alloy C46400,Standard,8.8,379,172,239.0,105000,5.0,6.5,2.209,5.0
Copper Alloy C48200,Standard,8.8,386,172,239.0,105000,5.0,6.5,2.234,5.0
Copper Alloy C48500,Standard,8.8,393,172,239.0,105000,5.0,6.5,2.26,5.0
Copper Alloy C50500,Standard,8.8,276,97,239.0,105000,5.0,6.5,1.83,5.0
Copper Alloy C51000,Standard,8.8,324,131,239.0,105000,5.0,6.5,2.007,5.0
Copper Alloy C51100,Standard,8.8,317,345,239.0,105000,5.0,6.5,1.981,5.0
Copper Alloy C52100,Standard,8.8,379,165,239.0,105000,5.0,6.5,2.209,5.0
Copper Alloy C52400,Standard,8.8,455,193,239.0,105000,5.0,6.5,2.488,5.0
Copper Alloy C54400,Standard,8.8,303,131,239.0,105000,5.0,6.5,1.929,5.0
Copper Alloy C60800,Standard,8.8,414,186,239.0,105000,5.0,6.5,2.337,5.0
Copper Alloy C61000,Standard,8.8,359,117,239.0,105000,5.0,6.5,2.135,5.0
Copper Alloy C61300,Standard,8.8,483,207,239.0,105000,5.0,6.5,2.591,5.0
Copper Alloy C61400,Standard,8.8,524,228,239.0,105000,5.0,6.5,2.741,5.0
Copper Alloy C61500,Standard,8.8,483,152,239.0,105000,5.0,6.5,2.591,5.0
